2025-06-04 14:59:22,304 INFO  CentralNavigationComponent - Initializing CNC-Navigation
2025-06-04 14:59:22,433 INFO  GraphHopperRouting - nodes: 8, edges: 7
2025-06-04 14:59:22,442 INFO  LocationIndexTree - location index created in 0.005792883s, size:11, leafs:4, precision:300, depth:1, checksum:15, entries:[4], entriesPerLeaf:2.75
2025-06-04 14:59:22,443 INFO  PrepareRoutingSubnetworks - Start marking subnetworks, prepare.min_network_size: 200, threads: 1, nodes: 8, edges: 7, jobs: [car_subnetwork|fastest|car_average_speed, bike_subnetwork|fastest|bike_average_speed], totalMB:144, usedMB:22
2025-06-04 14:59:22,454 INFO  PrepareRoutingSubnetworks - bike - Found 14 subnetworks (14 single edges and 0 components with more than one edge, total nodes: 14), took: 0.00395409s
2025-06-04 14:59:22,454 INFO  PrepareRoutingSubnetworks - bike - Marked 14 subnetworks (biggest: 1 edges) -> 0 components(s) remain (smallest: 0, biggest: 0 edges), total marked edges: 7, took: 3.32237E-4s
2025-06-04 14:59:22,455 INFO  PrepareRoutingSubnetworks - car - Found 14 subnetworks (14 single edges and 0 components with more than one edge, total nodes: 14), took: 4.22263E-4s
2025-06-04 14:59:22,455 INFO  PrepareRoutingSubnetworks - car - Marked 14 subnetworks (biggest: 1 edges) -> 0 components(s) remain (smallest: 0, biggest: 0 edges), total marked edges: 7, took: 4.8401E-5s
2025-06-04 14:59:22,455 INFO  PrepareRoutingSubnetworks - Finished finding and marking subnetworks for 2 jobs, took: 0.012604547s, totalMB:144, usedMB:23
2025-06-04 14:59:22,456 INFO  CentralNavigationComponent - CNC - Navigation-System initialized
2025-06-04 14:59:22,458 INFO  CentralNavigationComponent - Sending vehicle routes initialization
