2025-06-04 15:07:25,394 INFO  CentralNavigationComponent - Initializing CNC-Navigation
2025-06-04 15:07:25,526 INFO  GraphHopperRouting - nodes: 8, edges: 7
2025-06-04 15:07:25,531 INFO  LocationIndexTree - location index created in 0.002826495s, size:11, leafs:4, precision:300, depth:1, checksum:15, entries:[4], entriesPerLeaf:2.75
2025-06-04 15:07:25,532 INFO  PrepareRoutingSubnetworks - Start marking subnetworks, prepare.min_network_size: 200, threads: 1, nodes: 8, edges: 7, jobs: [car_subnetwork|fastest|car_average_speed, bike_subnetwork|fastest|bike_average_speed], totalMB:42, usedMB:26
2025-06-04 15:07:25,541 INFO  PrepareRoutingSubnetworks - bike - Found 14 subnetworks (14 single edges and 0 components with more than one edge, total nodes: 14), took: 0.003389909s
2025-06-04 15:07:25,542 INFO  PrepareRoutingSubnetworks - bike - Marked 14 subnetworks (biggest: 1 edges) -> 0 components(s) remain (smallest: 0, biggest: 0 edges), total marked edges: 7, took: 2.92427E-4s
2025-06-04 15:07:25,542 INFO  PrepareRoutingSubnetworks - car - Found 14 subnetworks (14 single edges and 0 components with more than one edge, total nodes: 14), took: 4.23241E-4s
2025-06-04 15:07:25,542 INFO  PrepareRoutingSubnetworks - car - Marked 14 subnetworks (biggest: 1 edges) -> 0 components(s) remain (smallest: 0, biggest: 0 edges), total marked edges: 7, took: 6.2299E-5s
2025-06-04 15:07:25,543 INFO  PrepareRoutingSubnetworks - Finished finding and marking subnetworks for 2 jobs, took: 0.011090518s, totalMB:42, usedMB:27
2025-06-04 15:07:25,543 INFO  CentralNavigationComponent - CNC - Navigation-System initialized
2025-06-04 15:07:25,545 INFO  CentralNavigationComponent - Sending vehicle routes initialization
