2025-04-25 15:14:28,698 INFO  CentralNavigationComponent - Initializing CNC-Navigation
2025-04-25 15:14:28,820 INFO  GraphHopperRouting - nodes: 5, edges: 10
2025-04-25 15:14:28,827 INFO  LocationIndexTree - location index created in 0.004813691s, size:16, leafs:3, precision:300, depth:1, checksum:15, entries:[4], entriesPerLeaf:5.3333335
2025-04-25 15:14:28,828 INFO  PrepareRoutingSubnetworks - Start marking subnetworks, prepare.min_network_size: 200, threads: 1, nodes: 5, edges: 10, jobs: [car_subnetwork|fastest|car_average_speed, bike_subnetwork|fastest|bike_average_speed], totalMB:37, usedMB:21
2025-04-25 15:14:28,844 INFO  PrepareRoutingSubnetworks - bike - Found 16 subnetworks (14 single edges and 2 components with more than one edge, total nodes: 20), took: 0.004399809s
2025-04-25 15:14:28,845 INFO  PrepareRoutingSubnetworks - bike - Marked 15 subnetworks (biggest: 3 edges) -> 1 components(s) remain (smallest: 3, biggest: 3 edges), total marked edges: 7, took: 6.86264E-4s
2025-04-25 15:14:28,846 INFO  PrepareRoutingSubnetworks - car - Found 16 subnetworks (14 single edges and 2 components with more than one edge, total nodes: 20), took: 6.37863E-4s
2025-04-25 15:14:28,846 INFO  PrepareRoutingSubnetworks - car - Marked 15 subnetworks (biggest: 3 edges) -> 1 components(s) remain (smallest: 3, biggest: 3 edges), total marked edges: 7, took: 4.9029E-5s
2025-04-25 15:14:28,846 INFO  PrepareRoutingSubnetworks - Finished finding and marking subnetworks for 2 jobs, took: 0.017742762s, totalMB:42, usedMB:22
2025-04-25 15:14:28,846 INFO  CentralNavigationComponent - CNC - Navigation-System initialized
2025-04-25 15:14:28,849 INFO  CentralNavigationComponent - Sending vehicle routes initialization
